content,date,lang,is_retweet
"Louisiana, get out and Vote Early for @EddieRispone as your next Governor. Lower Taxes and car insurance. Will protect your 2nd Amendment. John Bel Edwards is always fighting our MAGA Agenda. Wants to raise your taxes and car insurance to the sky. Vote for Republican Eddie R!",2019-11-05 12:30:12,en,True
The Whistleblower gave false information &amp; dealt with corrupt politician Schiff. He must be brought forward to testify. Written answers not acceptable! Where is the 2nd Whistleblower? He disappeared after I released the transcript. Does he even exist? Where is the informant? Con!,2019-11-05 12:30:00,en,True
95% Approval Rating in the Republican Party. Thank you!,2019-11-05 12:29:41,en,True
All-Time High for Stock Market and all the Fake News wants to talk about is the Impeachment Hoax!,2019-11-05 12:29:20,en,True
"My son, @DonaldJTrumpJr is coming out with a new book, “Triggered: How the Left Thrives on Hate and Wants to Silence Us” – available tomorrow, November 5th! A great new book that I highly recommend for ALL to read. Go order it today!",2019-11-05 12:29:08,en,True
"Virginia, with all of the massive amount of defense and other work I brought to you, and with everything planned, go out and vote Republican today. I know the Dems are saying that they have your vote locked up, but that would mean a long slide down. VOTE REPUBLICAN TODAY!",2019-11-05 12:28:32,en,True
Zimmerman presents Trump with a customized Nationals jersey https://t.co/KUtPraHdVW,2019-11-05 12:24:11,en,True
"""What an unbelievable honor... this is what you dream about,"" Ryan Zimmerman says at the White House, and goes on to thank @Potus for ""continuing to make America the greatest country to live in the world.""",2019-11-05 12:23:56,en,True
Ryan Zimmerman presented President @realDonaldTrump with a #45 @Nationals jersey! ⚾ https://t.co/lp5MCIv8R4,2019-11-05 12:23:38,en,True
"I love you all. Thank you Mr. President,"" Washington Nationals catcher Kurt Suzuki says, putting on a “Make America Great Again” hat and prompting an awkward hug from Pres. Trump. https://t.co/35Zg7cQ9nU https://t.co/3wmyPJdrAM",2019-11-05 12:20:19,en,True
"STU: ""None of this will change. The #impeachment drive and the secret hearings will continue, but the contempt the elites have shown for the #baghdadi triumph will not be forgotten."" #Media #Democrats #MyTake #VarneyCo https://t.co/0iDiQh5tv1",2019-11-05 12:11:14,en,True
The Do Nothing Dems have gone Radical Left Crazy. The can’t get anything done! https://t.co/wasvWli9jr,2019-11-05 12:09:51,en,False
"STU: ""It's crunch time. The angry left has taken over the @TheDemocrats party, and the socialists have taken over the presidential campaign.""#GOP #2020Election #MyTake #VarneyCo https://t.co/lsEJqTzgP7",2019-11-05 12:07:35,en,True
"STU: ""Impeachment is all viscous politics. It will fail, and voters won't forget."" #ImpeachmentHearings #Politics #Markets #MyTake #VarneyCo https://t.co/TMJZtB6Liu",2019-11-05 12:07:13,en,True
"STU: ""Throw in strong #profits, #tradedeals, and more #economicgrowth still to come, and you can see why we have record highs on the stock market!"" #TaxCuts #Success #MyTake #VarneyCo https://t.co/3NAdzNSJKn",2019-11-05 12:06:36,en,True
"Virginia, with all of the massive amount of defense and other work I brought to you, and with everything planned, go out and vote Republican today. I know the Dems are saying that they have your vote locked up, but that would mean a long slide down. VOTE REPUBLICAN TODAY!",2019-11-05 12:05:22,en,False
"""We support, protect, and defend the Constitution""

""We stand with the incredible heroes and warriors of law enforcement.

""We believe in the dignity of work and the sanctity of life.

""We believe that children should be taught to love our country"" - President Trump

#TrumpRally https://t.co/xOnE5j1c7I",2019-11-05 04:57:55,en,True
"""So today, we just hit the highest number in the history of the stock market. ... That's for everybody. Your 401(k)'s, how you doing? Pretty good right?""

Crowd roars, chants ""USA!""

#MAGA #KeepAmericaGreat https://t.co/wvLJwV2hS7",2019-11-05 04:57:11,en,True
"""American special forces gave the world's number one terrorist a one-way ticket to hell."" 

- President Trump speaks in Lexington, Kentucky, about the recent missions that killed the leaders of ISIS

#KeepAmericaGreat #MAGA https://t.co/PFVH3ygzx9",2019-11-05 04:56:28,en,True
"""The American people are fed up with Democrat lies, hoaxes, slander. The Democrats' outrageous conduct has created an angry majority that will vote the do-nothing Democrats the hell out of office soon!"" - President Trump in Lexington, Kentucky

The crowd chants ""four more years!"" https://t.co/lmooNctRWC",2019-11-05 04:55:55,en,True
Vote for Sean Spicer on Dancing with the Stars. He is a great and very loyal guy who is working very hard! #MAGA https://t.co/JGvKANCRqZ,2019-11-05 02:08:09,en,False
"My son, @DonaldJTrumpJr is coming out with a new book, “Triggered: How the Left Thrives on Hate and Wants to Silence Us” – available tomorrow, November 5th! A great new book that I highly recommend for ALL to read. Go order it today!",2019-11-04 17:39:36,en,False
All-Time High for Stock Market and all the Fake News wants to talk about is the Impeachment Hoax!,2019-11-04 15:09:53,en,False
Read the Transcript!,2019-11-04 14:51:29,en,False
"Big Rally in Kentucky TONIGHT for a man who has worked really hard &amp; done a GREAT job, Gov @MattBevin. Kentucky is having the best economic year ever under Matt’s leadership. He is a fantastic guy who loves our Military, our Vets and our 2A. Vote Tuesday! https://t.co/6MYQiI7c3X",2019-11-04 14:51:26,en,False
"....I don’t like him using my name to build his consulting company, or whatever. Please advise his clients and Administration officials accordingly.",2019-11-04 14:22:13,en,False
"Many people say they know me, claiming to be “best friends” and really close etc., when I don’t know these people at all. This happens, I suppose, to all who become President. With that being stated, I don’t know, to the best of my knowledge, a man named Michael Esposito.....",2019-11-04 14:22:09,en,False
Stock Market hits RECORD HIGH. Spend your money well!,2019-11-04 13:45:24,en,False
“There is no Whistleblower. There is someone with an agenda against Donald Trump. What he was blowing the whistle on didn’t happen. We have the transcript of the call. This is all a farce and no Republican should forget that.” @dbongino @foxandfriends,2019-11-04 13:14:30,en,False
95% Approval Rating in the Republican Party. Thank you!,2019-11-04 12:58:31,en,False
The Whistleblower gave false information &amp; dealt with corrupt politician Schiff. He must be brought forward to testify. Written answers not acceptable! Where is the 2nd Whistleblower? He disappeared after I released the transcript. Does he even exist? Where is the informant? Con!,2019-11-04 12:50:51,en,False
What I said on the phone call with the Ukrainian President is “perfectly” stated. There is no reason to call witnesses to analyze my words and meaning. This is just another Democrat Hoax that I have had to live with from the day I got elected (and before!). Disgraceful!,2019-11-04 12:06:39,en,False
"Mark Levin, a great lawyer and scholar, said last night on his @marklevinshow, that all you have to do is read the transcript of the call, you do not need Never Trumpers or other witnesses to say what it means or says. It is plainly and very well stated for all to see. Witch Hunt",2019-11-04 11:53:00,en,False
Great! But how do you know it was a “mistweet?” May be something with deep meaning! https://t.co/00EXMCgQLp,2019-11-04 11:38:43,en,False
#العراق: حرق جدار القنصلية الإيرانية في #كربلاء https://t.co/C4jZyZkDeC,2019-11-04 05:19:41,ar,True
"#BREAKING: Dozens of Iraqi demonstrators have stormed the Iranian consulate in #Karbala, lowering the flag and burning part of the outer wall #IraqProtests 

https://t.co/axoNKBjwHh https://t.co/4wLEJYImKW",2019-11-04 05:18:13,en,True
"Louisiana, get out and Vote Early for @EddieRispone as your next Governor. Lower Taxes and car insurance. Will protect your 2nd Amendment. John Bel Edwards is always fighting our MAGA Agenda. Wants to raise your taxes and car insurance to the sky. Vote for Republican Eddie R!",2019-11-04 05:15:54,en,False
"The democrats are tearing this country apart. They are wusses, wimps and weasels. They don’t have the chutzpah to face Donald Trump in November, I don’t blame them. Because he'll blow those wusses, wimps and weasels right out of the swampy water they call home.  #OpeningStatement https://t.co/nQSsXvV0U2",2019-11-04 05:06:29,en,True
"Check out my interview with @SteveScalise on the Democrats' impeachment witch-hunt and their ""soviet-style"" process to the investigation. https://t.co/AtU98TP13q",2019-11-04 05:06:21,en,True
"Great Republican Geary Higgins has my complete and total Endorsement for Virginia Senate, 13th District. He is strong on Crime, the Border, our Military, Cutting Taxes, and protecting your 2nd Amendment. Dem John Bell will take your guns &amp; raise your taxes. Vote for Geary Higgins",2019-11-04 05:01:09,en,False
"@marklevinshow Mark Levin: “We ought to talk about the substance of this phone call. We have the call, I don’t know what we need witnesses for? Can’t we read English? Do I need a Whistleblower to tell me what I’m reading? Do I need a Lt. C. to tell me? NO.” So plain and simple!",2019-11-04 04:18:48,en,False
Morrison testimony backfires on Schiff and the radical Democrats https://t.co/I1EaUfTKSf,2019-11-04 04:00:44,en,True
"The walking dead: the House Democrats who lied to voters in Trump districts in 2018 to get elected. 
https://t.co/PAZEw5M1P5",2019-11-04 04:00:29,en,True
"Elizabeth Warren would destroy jobs and the middle class.  If elected she must be impeached. 
https://t.co/kExZZ8HYuY",2019-11-04 04:00:03,en,True
"Under Trump, black unemployment is lowest in history.  No doubt, Democrats will shout racism. https://t.co/5UXA3KLe5P",2019-11-04 03:59:53,en,True
Rats nest https://t.co/OejXeOeEkO,2019-11-04 03:59:48,en,True
Obama NSC holdovers — the so-called whistleblower and the two Schiff staffers — must be part of the 2016-related criminal investigation https://t.co/0HNnoismLS,2019-11-04 03:58:01,en,True
"#ICYMI: Student debt is one of the biggest issues facing Americans from all states across the United States. Yesterday, I spoke with @SteveHiltonx on @FoxNews about my bipartisan ISA Student Protection Act. https://t.co/rhxCGpSVVZ https://t.co/hX32QHon1z",2019-11-04 03:55:53,en,True
Good point! https://t.co/L2ZyCY8QlI,2019-11-04 03:54:50,en,False
We won’t Steve! https://t.co/iKr859gKEL,2019-11-04 03:52:44,en,False
"""Rep. Jim Jordan on House impeachment inquiry: Democrats are making up the rules as they go""

https://t.co/jagPe8DhgF",2019-11-04 01:14:43,en,True
"Dems are using impeachment as a political tactic to damage @realDonaldTrump at the ballot box. That's a disgusting abuse of power.

They've even admitted he'll be re-elected if they don't impeach.

The next election should be decided by the American people—not Pelosi and Schiff. https://t.co/COpMNy1lgs",2019-11-04 01:14:21,en,True
Don’t miss this show! https://t.co/EhY8CNAUqP,2019-11-04 01:08:27,en,False
"False stories are being reported that a few Republican Senators are saying that President Trump may have done a quid pro quo, but it doesn’t matter, there is nothing wrong with that, it is not an impeachable event. Perhaps so, but read the transcript, there is no quid pro quo!",2019-11-04 00:59:45,en,False
"....should give their own transcripts of the interviews to contrast with Schiff’s manipulated propaganda. House Republicans must have nothing to do with Shifty’s rendition of those interviews. He is a proven liar, leaker &amp; freak who is really the one who should be impeached!",2019-11-04 00:48:55,en,False
"If Shifty Adam Schiff, who is a corrupt politician who fraudulently made up what I said on the “call,” is allowed to release transcripts of the Never Trumpers &amp; others that are &amp; were interviewed, he will change the words that were said to suit the Dems purposes. Republicans...",2019-11-04 00:48:51,en,False
https://t.co/3O0ABd3HGt,2019-11-03 22:24:47,und,False
"Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in, those numbers will go rapidly in the other direction. On Tuesday, Vote Republican!",2019-11-03 20:23:15,en,False
"I hope everyone in the Great State of Virginia will get out and VOTE on Tuesday in all of the local and state elections to send a signal to D.C. that you want lower taxes, a strong Military, Border &amp; 2nd Amendment, great healthcare, and must take care of our Vets. VOTE REPUBLICAN",2019-11-03 20:18:09,en,False
"The Fake News Media is working hard so that information about the Whistleblower’s identity, which may be very bad for them and their Democrat partners, never reaches the Public.",2019-11-03 20:05:10,en,False
"The Democrats are Fixers, and they are working overtime to FIX the Impeachment “Process” in order to hurt the Republican Party and me. Nancy Pelosi should instead Fix her broken District and Corrupt Adam should clean up &amp; manage the California forests which are always burning!",2019-11-03 18:23:41,en,False
Fake News! https://t.co/pL9gMFvZEn,2019-11-03 16:45:08,en,False
The Angry Majority!,2019-11-03 16:41:58,en,False
"Many people listened to my phone call with the Ukrainian President while it was being made. I never heard any complaints. The reason is that it was totally appropriate, I say perfect. Republicans have never been more unified, and my Republican Approval Rating is now 95%!",2019-11-03 16:40:52,en,False
....and FEDERAL CONTRACTOR SPIES stories. The finest law enforcement on the planet could not have shown a ROADMAP like that which was produced by you. @OANN should be VERY proud of this great work. I wish more people were seeking the facts and the truth. Keep it up!,2019-11-03 16:25:59,en,False
"Thank you to @OANN for the absolutely incredible Special Report narrated by @PearsonSharp. Seldom do the American people get to see journalistic work of this quality. Now it would be great if the legitimate sections of law enforcement would study your SMEARS, SPIES AND LIES....",2019-11-03 16:25:56,en,False
“Morrison testifies he saw nothing wrong with the Trump call.” @OANN,2019-11-03 16:13:59,en,False
"....Matt has been a GREAT Governor. Kentucky (I Love You!), please be sure to vote for Matt Bevin on TUESDAY. Matt will never let you down, and we have to send a strong signal to Nancy Pelosi and the Radical Left Democrats. See you on Monday night, VOTE TUESDAY!!!",2019-11-03 15:01:01,en,False
Walking into Madison Square Garden last night with @danawhite for the big @UFC Championship fight was a little bit like walking into a Trump Rally. Plenty of MAGA &amp; KAG present. Great energy. Fantastic job Dana! Heading to D.C. and then to Kentucky for a big @MattBevin Rally...,2019-11-03 15:01:00,en,False
Great fight Champ! https://t.co/URRR7vnSCj,2019-11-03 14:37:51,en,False
UFC president Dana White has praised Trump for backing the UFC early on—including agreeing to host fights at his venues and watching from the front row. “Nobody took us seriously. Nobody. Except Donald Trump. Donald was the first guy to recognize the potential we saw in the UFC”,2019-11-03 14:34:40,en,True
"The Whistleblower got it sooo wrong that HE must come forward. The Fake News Media knows who he is but, being an arm of the Democrat Party, don’t want to reveal him because there would be hell to pay. 
 Reveal the Whistleblower and end the Impeachment Hoax!",2019-11-03 14:33:45,en,False
"....putting these massive, and many, fires out. Great firefighters! Also, open up the ridiculously closed water lanes coming down from the North. Don’t pour it out into the Pacific Ocean. Should be done immediately. California desperately needs water, and you can have it now!",2019-11-03 14:12:00,en,False
"..Every year, as the fire’s rage &amp; California burns, it is the same thing-and then he comes to the Federal Government for $$$ help. No more. Get your act together Governor. You don’t see close to the level of burn in other states...But our teams are working well together in.....",2019-11-03 14:11:58,en,False
"The Governor of California, @GavinNewsom, has done a terrible job of forest management. I told him from the first day we met that he must “clean” his forest floors regardless of what his bosses, the environmentalists, DEMAND of him. Must also do burns and cut fire stoppers.....",2019-11-03 14:11:58,en,False
https://t.co/zJ9nW8i3ao,2019-11-03 05:03:33,und,False
#NEW: Pres. Trump arrives at Madison Square Garden to a positive reaction from the crowd ahead of #UFC244 . https://t.co/OIz8R8IkRu,2019-11-03 03:51:21,en,True
"At #UFC244 - chanting “Donald Trump, Donald Trump... USA USA” https://t.co/hiqKCw3cS9",2019-11-03 03:38:48,en,True
"Despite the bullshit from blue checkmark Twitter, when we walked into the arena it was overwhelmingly positive. @danawhite said it was the most electrifying entrance he seen in 25 years of doing this. @ufc https://t.co/62dAdDimGD",2019-11-03 03:37:40,en,True
"A great new book by Howie Carr, “What Really Happened, How Donald J. Trump Saved America From Hillary Clinton,” is on sale now. Howie is a talented New England force who was there at the very beginning!",2019-11-02 22:28:27,en,True
"Tate Reeves will be a great Governor of Mississippi, and what an electric Rally last night. Vote for Tate on Tuesday! https://t.co/5AZHe5DT9A",2019-11-02 22:28:23,en,True
"Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job, Governor @MattBevin. Kentucky is having the best economic year ever under Matt’s leadership. He is a fantastic guy who loves our Military, our Vets and our 2nd Amendment. Vote Tuesday!",2019-11-02 22:27:52,en,True
"Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be coming way down with Eddie, and your 2nd Amendment will be protected. Current Democrat governor has done a really poor job! VOTE EARLY FOR EDDIE!",2019-11-02 22:27:50,en,True
The Whistleblower has disappeared. Where is the Whistleblower?,2019-11-02 22:27:33,en,True
"Under President @realDonaldTrump, we’ve cut taxes, rolled back red tape, unleashed American energy and forged free, fair and reciprocal trade deals that put America first. Now it is time to pass the #USMCA! https://t.co/OLv6l9oopo",2019-11-02 22:26:52,en,True
Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https://t.co/b12GFXv6tE,2019-11-02 22:26:29,en,True
Didn’t he pick the Whistleblower? https://t.co/yalRJr8DgA,2019-11-02 22:26:03,en,False
"When you look at what Democrats in Congress have accomplished compared to President @realDonaldTrump in just the past 2 weeks, it makes total sense why they bet it all on the impeachment hoax. https://t.co/hc7k8fFjgQ",2019-11-02 21:11:53,en,True
There is serious work to get done on behalf of this country—and Congressional Democrats are blatantly ignoring it. https://t.co/twc4tLNBhY,2019-11-02 21:11:34,en,True
"While Democrats go on with their impeachment sham, President @realDonaldTrump will continue working for the American people. https://t.co/AnFuiB1h4y",2019-11-02 21:11:26,en,True
".@HouseDemocrats have been holding a closed-door investigation in @RepAdamSchiff’s basement.
 
After facing intense flak, their #KangarooCourt has now turned into a full-fledged fishing expedition to find any reason to mask that the American people duly elected @realDonaldTrump.",2019-11-02 21:11:14,en,True
"The left's impeachment sham sure hasn't slowed President @realDonaldTrump down this week. 

See more: https://t.co/A68ueVC88u https://t.co/P65IumL8PP",2019-11-02 21:10:59,en,True
A giant Scam! https://t.co/E2gcPaddD1,2019-11-02 21:10:22,en,False
Someone feeling a bit left out? https://t.co/VDsy93Blft,2019-11-02 21:08:12,en,True
"President Trump on the mission that killed ISIS leader Abu Bakr al-Baghdadi:

""American special operators executed a masterful raid that ended his wretched life &amp; punched out his ticket to hell""

""No enemy stands a chance against the righteous might of the United States military"" https://t.co/RiukT1rfwm",2019-11-02 21:07:37,en,True
"You can call Trump a bully, racist, xenophobe, liar, islamophobe, fascist, or even a Cheeto. 

None of it's true.

THE TRUTH IS, you hate him because he is Christian, an outsider who’s exposing ALL of the Democrat corruption in D.C., and he’s kicking ass for the American people.",2019-11-02 21:07:07,en,True
Nancy &amp; Adam: We will worry about your ridiculous fake impeachment bs when ONE of your full-time candidates can fill a stadium like our @realDonaldTrump after working a 16 hour day for America! 🇺🇸 https://t.co/a9YHfLFSOu,2019-11-02 21:06:23,en,True
Keep on rolling. https://t.co/5vOLzTaoRm,2019-11-02 21:04:20,en,True
The Democrats are pushing the Impeachment hoax because they know the President is going to get re-elected in 2020. So they are doing anything they can to stop it. @realDonaldTrump @LaraLeaTrump https://t.co/A834fX7Qlb,2019-11-02 21:03:43,en,True
"Same story, different day for Dems. 

They’ve wanted to impeach @realDonaldTrump from Day 1.

First they tried to use the Mueller Report. When that didn’t work, they started pushing a hoax about a phone call.

The American people can see through their partisan schemes. https://t.co/MdnHfGv8x0",2019-11-02 21:02:23,en,True
Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https://t.co/b12GFXv6tE,2019-11-02 21:01:44,en,False
The Whistleblower has disappeared. Where is the Whistleblower?,2019-11-02 20:57:58,en,False
"Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job, Governor @MattBevin. Kentucky is having the best economic year ever under Matt’s leadership. He is a fantastic guy who loves our Military, our Vets and our 2nd Amendment. Vote Tuesday!",2019-11-02 20:55:19,en,False
"Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be coming way down with Eddie, and your 2nd Amendment will be protected. Current Democrat governor has done a really poor job! VOTE EARLY FOR EDDIE!",2019-11-02 18:18:44,en,False
"Tate Reeves will be a great Governor of Mississippi, and what an electric Rally last night. Vote for Tate on Tuesday! https://t.co/5AZHe5DT9A",2019-11-02 18:12:22,en,False
"A great new book by Howie Carr, “What Really Happened, How Donald J. Trump Saved America From Hillary Clinton,” is on sale now. Howie is a talented New England force who was there at the very beginning!",2019-11-02 16:26:02,en,False
If you want to send a message to the Do Nothing Democrats that Kentucky and America support President @realDonaldTrump—VOTE REPUBLICAN and vote to re-elect Governor @MattBevin and the whole Republican ticket! https://t.co/mwxZLqjQXg,2019-11-02 02:48:33,en,True
"""While we're Creating Jobs and Killing Terrorists, the Democrat Party has gone completely insane."" - President @realDonaldTrump https://t.co/gShmLXRQoM",2019-11-02 02:48:02,en,True
"One reason why the 'quid pro quo' narrative is a fairy tale:

Not only were Ukraine officials unaware aid was even being delayed until a month AFTER the 7/25 phone call... the aid was released WITHOUT any new investigations.

This impeachment case has no basis in reality. https://t.co/hyjSuEUURp",2019-11-02 02:28:23,en,True
"Speaker Pelosi said earlier this Congress that any impeachment effort would need to be done on a bipartisan basis.

We held a vote today in the House, and it was indeed bipartisan.

Impeachment received bipartisan opposition.",2019-11-02 02:27:54,en,True
"Debunking Radical Dems. @RepMarkMeadows on former WH official, Tim Morrison’s testimony vindicating @POTUS. #MAGA #AmericaFirst #Dobbs https://t.co/48JdOuPx24",2019-11-02 02:27:27,en,True
Strong show of unity among Republicans today. 💯% voted AGAINST impeachment sham. 💪🏼 https://t.co/vNJDq9ZfOi,2019-11-02 02:27:09,en,True
The Greatest Witch Hunt In American History!,2019-11-02 02:20:00,en,True
"This week @POTUS’s Interagency Task Force to combat #humantrafficking met and announced investments totaling $75M in the Program to End Modern Slavery, making it @statedept's largest anti-trafficking program.

We are committed to ending human trafficking, in all its evil forms. https://t.co/THzbARW2qG",2019-11-02 02:17:21,en,True
The Whistleblower must come forward to explain why his account of the phone call with the Ukrainian President was so inaccurate (fraudulent?). Why did the Whistleblower deal with corrupt politician Shifty Adam Schiff and/or his committee?,2019-11-01 23:16:07,en,False
You can’t Impeach someone who hasn’t done anything wrong!,2019-11-01 22:48:59,en,False
"Oh no, Beto just dropped out of race for President despite him saying he was “born for this.” I don’t think so!",2019-11-01 21:51:45,en,False
Republicans have never been more unified than they are right now! The Dems are a mess under the corrupt leadership of Nervous Nancy Pelosi and Shifty Adam Schiff!,2019-11-01 21:40:15,en,False
.....with a President and Federal Government that wants our wonerful City and State to flourish and thrive. I Love New York!,2019-11-01 21:11:29,en,False
"....our great police are being disrespected, even with water dumped on them, because a Mayor and Governor just don’t “have their backs.” New York’s Finest must be cherished, respected and loved. Too many prople are leaving our special New York. Great leaders would work....",2019-11-01 21:11:29,en,False
"....in New York, and another reason they are leaving. Taxes and energy costs are way too high, Upstate is being allowed to die as other nearby states frack &amp; drill for Gold (oil) while reducing taxes &amp; creating jobs by the thousands. NYC is getting dirty &amp; unsafe again, as....",2019-11-01 21:11:28,en,False
"I love New York, but New York can never be great again under the current leadership of Governor Andrew Cuomo (the brother of Fredo), or Mayor Bill DeBlasio. Cuomo has weaponized the prosecutors to do his dirty work (and to keep him out of jams), a reason some don’t want to be...",2019-11-01 21:11:28,en,False
Stock Market up BIG! Record highs for S&amp;P 500 and NASDAQ. Enjoy!,2019-11-01 14:08:56,en,False
"....Our Republican candidate @EddieRispone is a successful conservative businessman who will stand with me to create jobs and protect your Second Amendment. GET OUT AND VOTE for Eddie, the next Governor of the GREAT State of Louisiana!",2019-11-01 14:08:18,en,False
"LOUISIANA! Extreme Democrat John Bel Edwards has sided with Nancy Pelosi and Chuck Schumer to support Sanctuary Cities, High Taxes, and Open Borders. He is crushing Louisiana’s economy and your Second Amendment rights....",2019-11-01 14:08:17,en,False
"....@FoxNews  @BillHemmer  The public is watching and seeing for themselves how unfair this process is. Corrupt politicians, Pelosi and Schiff, are trying to take down the Republican Party. It will never happen, we will take back the House!",2019-11-01 13:52:22,en,False
"“Adam Schiff has taken all of the power for himself. That is very unfair. There were dozens of people on this call, yesterdays witness knew that and had no problems (nor did any of them). Facts matter, and that’s why this is not about Impeachment.” Guy Lewis, former prosecutor...",2019-11-01 13:52:19,en,False
ISIS has a new leader. We know exactly who he is!,2019-11-01 13:38:39,en,False
“The Democrats need more than this.” @tombrokaw  Much more!,2019-11-01 13:36:10,en,False
